Year,Value,Units,variable_code
2023,925,Dollars (millions),H22
2023,801,Dollars (millions),H23
2023,5398,Dollars (millions),H24
2023,2873,Dollars (millions),H25
2023,1786,Dollars (millions),H26
2023,383,Dollars (millions),H27
2023,95,Dollars (millions),H28
2023,739,Dollars (millions),H29
2023,5398,Dollars (millions),H30
2023,2772,Dollars (millions),H31
2023,1614,Dollars (millions),H32
2023,1012,Dollars (millions),H33
2023,413800,Dollars,H34
2023,45200,Dollars,H35
2023,178,Percentage,H36
2023,121,Percentage,H37
2023,40,Percentage,H38
2023,29,Percentage,H39
2023,15,Percentage,H40
2023,51,Percentage,H41
2023,3844,Dollars (millions),H01
2023,C,Dollars (millions),H02
2023,3544,Dollars (millions),H03
2023,7,Dollars (millions),H05
2023,0,Dollars (millions),H06
2023,C,Dollars (millions),H07
2023,3645,Dollars (millions),H08
2023,38,Dollars (millions),H09
2023,9,Dollars (millions),H10
2023,165,Dollars (millions),H11
2023,475,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,102,Dollars (millions),H17
2023,2754,Dollars (millions),H18
2023,102,Dollars (millions),H20
2023,676,Dollars (millions),H21
2023,712,Dollars (millions),H22
2023,235,Dollars (millions),H23
2023,5141,Dollars (millions),H24
2023,2479,Dollars (millions),H25
2023,1294,Dollars (millions),H26
2023,172,Dollars (millions),H27
2023,66,Dollars (millions),H28
2023,1368,Dollars (millions),H29
2023,5141,Dollars (millions),H30
2023,C,Dollars (millions),H31
2023,C,Dollars (millions),H32
2023,643,Dollars (millions),H33
2023,786900,Dollars,H34
2023,48100,Dollars,H35
2023,C,Percentage,H36
2023,C,Percentage,H37
2023,C,Percentage,H38
2023,C,Percentage,H39
2023,5,Percentage,H40
2023,C,Percentage,H41
2023,3844,Dollars (millions),H01
2023,C,Dollars (millions),H02
2023,3544,Dollars (millions),H03
2023,7,Dollars (millions),H05
2023,0,Dollars (millions),H06
2023,C,Dollars (millions),H07
2023,3645,Dollars (millions),H08
2023,38,Dollars (millions),H09
2023,9,Dollars (millions),H10
2023,165,Dollars (millions),H11
2023,475,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,102,Dollars (millions),H17
2023,2754,Dollars (millions),H18
2023,102,Dollars (millions),H20
2023,676,Dollars (millions),H21
2023,712,Dollars (millions),H22
2023,235,Dollars (millions),H23
2023,5141,Dollars (millions),H24
2023,2479,Dollars (millions),H25
2023,1294,Dollars (millions),H26
2023,172,Dollars (millions),H27
2023,66,Dollars (millions),H28
2023,1368,Dollars (millions),H29
2023,5141,Dollars (millions),H30
2023,C,Dollars (millions),H31
2023,C,Dollars (millions),H32
2023,643,Dollars (millions),H33
2023,786900,Dollars,H34
2023,48100,Dollars,H35
2023,C,Percentage,H36
2023,C,Percentage,H37
2023,C,Percentage,H38
2023,C,Percentage,H39
2023,5,Percentage,H40
2023,C,Percentage,H41
2023,1505,Dollars (millions),H01
2023,116,Dollars (millions),H02
2023,1383,Dollars (millions),H03
2023,2,Dollars (millions),H05
2023,2,Dollars (millions),H06
2023,2,Dollars (millions),H07
2023,1413,Dollars (millions),H08
2023,13,Dollars (millions),H09
2023,8,Dollars (millions),H10
2023,51,Dollars (millions),H11
2023,425,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,87,Dollars (millions),H17
2023,812,Dollars (millions),H18
2023,17,Dollars (millions),H20
2023,113,Dollars (millions),H21
2023,127,Dollars (millions),H22
2023,107,Dollars (millions),H23
2023,958,Dollars (millions),H24
2023,466,Dollars (millions),H25
2023,209,Dollars (millions),H26
2023,40,Dollars (millions),H27
2023,14,Dollars (millions),H28
2023,282,Dollars (millions),H29
2023,958,Dollars (millions),H30
2023,373,Dollars (millions),H31
2023,364,Dollars (millions),H32
2023,221,Dollars (millions),H33
2023,247300,Dollars,H34
2023,17600,Dollars,H35
2023,128,Percentage,H36
2023,93,Percentage,H37
2023,25,Percentage,H38
2023,29,Percentage,H39
2023,11,Percentage,H40
2023,39,Percentage,H41
2023,1505,Dollars (millions),H01
2023,116,Dollars (millions),H02
2023,1383,Dollars (millions),H03
2023,2,Dollars (millions),H05
2023,2,Dollars (millions),H06
2023,2,Dollars (millions),H07
2023,1413,Dollars (millions),H08
2023,13,Dollars (millions),H09
2023,8,Dollars (millions),H10
2023,51,Dollars (millions),H11
2023,425,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,87,Dollars (millions),H17
2023,812,Dollars (millions),H18
2023,17,Dollars (millions),H20
2023,113,Dollars (millions),H21
2023,127,Dollars (millions),H22
2023,107,Dollars (millions),H23
2023,958,Dollars (millions),H24
2023,466,Dollars (millions),H25
2023,209,Dollars (millions),H26
2023,40,Dollars (millions),H27
2023,14,Dollars (millions),H28
2023,282,Dollars (millions),H29
2023,958,Dollars (millions),H30
2023,373,Dollars (millions),H31
2023,364,Dollars (millions),H32
2023,221,Dollars (millions),H33
2023,247300,Dollars,H34
2023,17600,Dollars,H35
2023,128,Percentage,H36
2023,93,Percentage,H37
2023,25,Percentage,H38
2023,29,Percentage,H39
2023,11,Percentage,H40
2023,39,Percentage,H41
2023,112,Dollars (millions),H01
2023,9,Dollars (millions),H02
2023,102,Dollars (millions),H03
2023,0,Dollars (millions),H05
2023,0,Dollars (millions),H06
2023,0,Dollars (millions),H07
2023,110,Dollars (millions),H08
2023,1,Dollars (millions),H09
2023,0,Dollars (millions),H10
2023,C,Dollars (millions),H11
2023,16,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,7,Dollars (millions),H17
2023,75,Dollars (millions),H18
2023,C,Dollars (millions),H20
2023,38,Dollars (millions),H21
2023,40,Dollars (millions),H22
2023,3,Dollars (millions),H23
2023,157,Dollars (millions),H24
2023,94,Dollars (millions),H25
2023,23,Dollars (millions),H26
2023,8,Dollars (millions),H27
2023,1,Dollars (millions),H28
2023,41,Dollars (millions),H29
2023,157,Dollars (millions),H30
2023,74,Dollars (millions),H31
2023,42,Dollars (millions),H32
2023,41,Dollars (millions),H33
2023,712500,Dollars,H34
2023,21400,Dollars,H35
2023,223,Percentage,H36
2023,129,Percentage,H37
2023,21,Percentage,H38
2023,5,Percentage,H39
2023,2,Percentage,H40
2023,47,Percentage,H41
2023,112,Dollars (millions),H01
2023,9,Dollars (millions),H02
2023,102,Dollars (millions),H03
2023,0,Dollars (millions),H05
2023,0,Dollars (millions),H06
2023,0,Dollars (millions),H07
2023,110,Dollars (millions),H08
2023,1,Dollars (millions),H09
2023,0,Dollars (millions),H10
2023,C,Dollars (millions),H11
2023,16,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,7,Dollars (millions),H17
2023,75,Dollars (millions),H18
2023,C,Dollars (millions),H20
2023,38,Dollars (millions),H21
2023,40,Dollars (millions),H22
2023,3,Dollars (millions),H23
2023,157,Dollars (millions),H24
2023,94,Dollars (millions),H25
2023,23,Dollars (millions),H26
2023,8,Dollars (millions),H27
2023,1,Dollars (millions),H28
2023,41,Dollars (millions),H29
2023,157,Dollars (millions),H30
2023,74,Dollars (millions),H31
2023,42,Dollars (millions),H32
2023,41,Dollars (millions),H33
2023,712500,Dollars,H34
2023,21400,Dollars,H35
2023,223,Percentage,H36
2023,129,Percentage,H37
2023,21,Percentage,H38
2023,5,Percentage,H39
2023,2,Percentage,H40
2023,47,Percentage,H41
2023,7021,Dollars (millions),H01
2023,1466,Dollars (millions),H02
2023,5447,Dollars (millions),H03
2023,30,Dollars (millions),H05
2023,1,Dollars (millions),H06
2023,77,Dollars (millions),H07
2023,6700,Dollars (millions),H08
2023,116,Dollars (millions),H09
2023,24,Dollars (millions),H10
2023,309,Dollars (millions),H11
2023,801,Dollars (millions),H12
2023,3,Dollars (millions),H13
2023,1107,Dollars (millions),H17
2023,4318,Dollars (millions),H18
2023,25,Dollars (millions),H20
2023,1493,Dollars (millions),H21
2023,1502,Dollars (millions),H22
2023,330,Dollars (millions),H23
2023,6738,Dollars (millions),H24
2023,3309,Dollars (millions),H25
2023,2161,Dollars (millions),H26
2023,418,Dollars (millions),H27
2023,68,Dollars (millions),H28
2023,1268,Dollars (millions),H29
2023,6738,Dollars (millions),H30
2023,3066,Dollars (millions),H31
2023,1865,Dollars (millions),H32
2023,1806,Dollars (millions),H33
2023,784600,Dollars,H34
2023,36900,Dollars,H35
2023,177,Percentage,H36
2023,97,Percentage,H37
2023,25,Percentage,H38
2023,11,Percentage,H39
2023,5,Percentage,H40
2023,46,Percentage,H41
2023,2062,Dollars (millions),H01
2023,C,Dollars (millions),H04
2023,C,Dollars (millions),H05
2023,0,Dollars (millions),H06
2023,C,Dollars (millions),H07
2023,1903,Dollars (millions),H08
2023,C,Dollars (millions),H09
2023,5,Dollars (millions),H10
2023,C,Dollars (millions),H11
2023,169,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,1548,Dollars (millions),H19
2023,C,Dollars (millions),H20
2023,C,Dollars (millions),H21
2023,296,Dollars (millions),H22
2023,C,Dollars (millions),H23
2023,2140,Dollars (millions),H24
2023,1017,Dollars (millions),H25
2023,C,Dollars (millions),H26
2023,138,Dollars (millions),H27
2023,7,Dollars (millions),H28
2023,C,Dollars (millions),H29
2023,2140,Dollars (millions),H30
2023,629,Dollars (millions),H31
2023,462,Dollars (millions),H32
2023,1050,Dollars (millions),H33
2023,1296500,Dollars,H34
2023,120900,Dollars,H35
2023,220,Percentage,H36
2023,156,Percentage,H37
2023,C,Percentage,H39
2023,C,Percentage,H40
2023,29,Percentage,H41
2023,2503,Dollars (millions),H01
2023,C,Dollars (millions),H04
2023,C,Dollars (millions),H05
2023,0,Dollars (millions),H06
2023,C,Dollars (millions),H07
2023,2349,Dollars (millions),H08
2023,C,Dollars (millions),H09
2023,9,Dollars (millions),H10
2023,C,Dollars (millions),H11
2023,202,Dollars (millions),H12
2023,2,Dollars (millions),H13
2023,1966,Dollars (millions),H19
2023,C,Dollars (millions),H20
2023,C,Dollars (millions),H21
2023,622,Dollars (millions),H22
2023,C,Dollars (millions),H23
2023,2010,Dollars (millions),H24
2023,962,Dollars (millions),H25
2023,C,Dollars (millions),H26
2023,116,Dollars (millions),H27
2023,31,Dollars (millions),H28
2023,C,Dollars (millions),H29
2023,2010,Dollars (millions),H30
2023,1226,Dollars (millions),H31
2023,683,Dollars (millions),H32
2023,100,Dollars (millions),H33
2023,1361200,Dollars,H34
2023,32400,Dollars,H35
2023,141,Percentage,H36
2023,50,Percentage,H37
2023,C,Percentage,H39
2023,C,Percentage,H40
2023,61,Percentage,H41
2023,2457,Dollars (millions),H01
2023,600,Dollars (millions),H02
2023,1837,Dollars (millions),H03
2023,7,Dollars (millions),H05
2023,1,Dollars (millions),H06
2023,11,Dollars (millions),H07
2023,2447,Dollars (millions),H08
2023,22,Dollars (millions),H09
2023,9,Dollars (millions),H10
2023,63,Dollars (millions),H11
2023,431,Dollars (millions),H12
2023,1,Dollars (millions),H13
2023,405,Dollars (millions),H17
2023,1505,Dollars (millions),H18
2023,1,Dollars (millions),H20
